value,date
219001,10/1/09
209650,1/1/10
214402,4/1/10
214263,7/1/10
228243,10/1/10
221728,1/1/11
233411,4/1/11
234436,7/1/11
243338,10/1/11
234886,1/1/12
243418,4/1/12
241405,7/1/12
253324,10/1/12
243800,1/1/13
249524,4/1/13
246436,7/1/13
263497,10/1/13
253161,1/1/14
262553,4/1/14
262349,7/1/14
279595,10/1/14
267728,1/1/15
275249,4/1/15
275093,7/1/15
290554,10/1/15
279373,1/1/16
287639,4/1/16
291989,7/1/16
307594,10/1/16
291345,1/1/17
301085,4/1/17
300364,7/1/17
323393,10/1/17
308224,1/1/18
318316,4/1/18
316912,7/1/18
339286,10/1/18
318153,1/1/19
332078,4/1/19
329552,7/1/19
